
compound	frequency	WIKIDATA_query	WIKIDATA_id	PubChem_CID	PubChem_cmpname
eicosane	10	eicosane	Q150925	8222	eicosane
elemicin	10	3,4,5-trimethoxyallyl benzene	Q417746	10248	elemicin
trans-carveol	10	(+/-)-4-terpineol	Q416114	94221	(-)-trans-carveol
alpha-campholenal	10	.alpha.-campholenal	Q27121498	1252759	alpha-campholenal
beta-farnesene	10	beta-farnesene	Q27119784	5281517	beta-farnesene
tau-muurolol	10	(+)-tau-muurolol	Q27132742	not found	not found
terpinen-4-ol	10	(+/-)-4-terpineol	Q416114	not found	not found
benzaldehyde	9	benzaldehyde	Q372524	240	benzaldehyde
hexadecanoic acid	9	palmitic acid	Q209727	985	palmitic acid
safrole	9	safrole	Q412424	5144	safrole
isobornyl acetate	9	(.plusminus.)-isobornyl acetate	Q425010	6448	bornyl acetate
3-octanol	9	3-octanol	Q27154917	11527	3-octanol
nonadecane	9	nonadecane	Q150911	12401	nonadecane
2-nonanone	9	2-nonanone	Q15726063	13187	2-nonanone
menthone	9	menthone	Q54015201	26447	menthone
p-cymenene	9	p-.plusminus.-dimethyl styrene	Q27162104	62385	1-methyl-4-(prop-1-en-2-yl)benzene
trans-verbenol	9	(s)-trans-verbenol	Q27287910	89664	(1r,2s,5r)-4,6,6-trimethylbicyclo[3.1.1]hept-3-en-2-ol
epi-alpha-cadinol	9	10-epi-alpha-cadinol	Q67865683	160799	cedrelanol
cis-carveol	9	(+)-cis-carveol	Q27105278	330573	(-)-cis-carveol
alpha-ylangene	9	ylangene	Q27160535	442409	(1s)-1,3-dimethyl-8-propan-2-yltricyclo[4.4.0.02,7]dec-3-ene
alpha-caryophyllene	9	caryophyllene	Q421614	5281520	humulene
trans-alpha-bergamotene	9	(e)-(-)-.alpha.-bergamotene	Q27132147	6429302	trans-alpha-bergamotene
gamma-curcumene	9	gamma-curcumene	Q27132733	12304273	gamma-curcumene
selin-11-en-4alpha-ol	9	not found	not found	15560330	selin-11-en-4alpha-ol
(e,e)-alpha-farnesene	9	.alpha.-farnesene	Q419814	not found	not found
1,10-di-epi-cubenol	9	1,10-di-epi-cubenol		not found	not found
tau-cadinol	9	tau-cadinol	Q55995547	not found	not found
beta-linalool	8	(+/-)-linalool	Q410932	6549	linalool
2-undecanone	8	2-undecanone	Q2024187	8163	2-undecanone
estragole	8	estragole	Q419495	8815	estragole
methyl chavicol	8	estragole	Q419495	8815	estragole
citronellyl acetate	8	citronellyl acetate	Q65225271	9017	citronellyl acetate
cadalene	8	cadalene	Q2692437	10225	cadalene
heptadecane	8	heptadecane	Q150888	12398	heptadecane
fenchone	8	fenchone	Q414784	14525	fenchone
cis-linalool oxide	8	cis-linalool oxide	Q27160941	22310	2-methyl-2-vinyl-5-(1-hydroxy-1-methylethyl)tetrahydrofuran
isopulegol	8	5-methyl-2-prop-1-en-2-ylcyclohexan-1-ol	Q54727900	24585	isopulegol
isoborneol	8	(+)-borneol	Q412435	64685	isoborneol
gamma-gurjunene	8	gamma-gurjunene	Q67880022	90805	1,4-dimethyl-7-(prop-1-en-2-yl)-1,2,3,3a,4,5,6,7-octahydroazulene
cryptone	8	4-isopropyl-2-cyclohexenone	Q21099100	92780	4-isopropyl-2-cyclohexenone
(z)-beta-farnesene	8	(6z)-.beta.-farnesene	Q27119785	5317319	cis-beta-farnesene
alloaromadendrene	8	not found	not found	10899740	(-)-alloaromadendrene
alpha-zingiberene	8	zingiberene	Q4117486	11127403	alpha-zingiberene
cis-p-menth-2-en-1-ol	8	not found	not found	13918681	cis-p-menth-2-en-1-ol
d.pteronyssinus	8	not found	not found	not found	not found
benzoic acid	7	benzoic acid	Q191700	243	benzoic acid
octanal	7	caprylaldehyde	Q416673	454	octanal
neophytadiene	7	neophytadiene	Q67880018	10446	neophytadiene
hexadecane	7	hexadecane	Q150843	11006	hexadecane
pentadecanal	7	pentadecanal	Q27102309	17697	pentadecanal
3-carene	7	carene	Q19414	26049	3-carene
delta-terpineol	7	delta-terpineol	Q67879923	81722	alpha,alpha-dimethyl-4-methylenecyclohexanemethanol
cis-verbenol	7	(s)-cis-verbenol	Q27293968	87839	(s)-cis-verbenol
bulnesol	7	bulnesol	Q67879762	90785	bulnesol
trans-beta-ocimene	7	(3e)-.beta.-ocimene	Q26777012	5281553	beta-ocimene
beta-gurjunene	7	beta-gurjunene	Q27154913	6450812	(1ar,4r,4ar,7ar,7br)-1,1,4-trimethyl-7-methylidene-2,3,4,4a,5,6,7a,7b-octahydro-1ah-cyclopropa[e]azulene
ledene	7	ledene	Q27132626	10910653	viridiflorene
isospathulenol	7	isospathulenol	Q67880147	14038848	isospathulenol
viridiflorol	7	viridiflorol	Q27280014	not found	not found
benzyl benzoate	6	benzyl benzoate	Q413755	2345	benzyl benzoate
alpha-pinene	6	(+)-.alpha.-pinene	Q2095629	6654	alpha-pinene
diisobutyl phthalate	6	diisobutyl phthalate	Q162259	6782	diisobutyl phthalate
methyleugenol	6	methyl eugenol	Q419829	7127	methyleugenol
heptanal	6	heptanal	Q425827	8130	heptanal
dodecanal	6	lauryl aldehyde	Q5287808	8194	dodecanal
octadecane	6	octadecane	Q150900	11635	octadecane
heptacosane	6	heptacosane	Q151028	11636	heptacosane
heneicosane	6	heneicosane	Q150955	12403	heneicosane
thymol methyl ether	6	not found	not found	14104	thymol methyl ether
terpineol	6	terpineol	Q420786	17100	alpha-terpineol
beta-thujone	6	.beta.-thujone	Q27121861	91456	beta-thujone
alpha-pinene oxide	6	alpha-pinene oxide	Q27104051	91508	alpha-pinene oxide
3-octanone	6	3-octanone	Q18349104	246728	3-octanone
alpha-thujone	6	(+)-alpha-thujone	Q27104745	261491	alpha-thujone
oleic acid	6	oleic acid	Q207688	445639	oleic acid
citral	6	citral	Q60176530	638011	citral
delta-cadinol	6	delta-cadinol	Q5254530	3084311	delta-cadinol
isocaryophyllene	6	isocaryophyllene	Q27106968	5281522	isocaryophyllene
cis-beta-ocimene	6	cis-beta-ocimene		5320250	(z)-beta-ocimene
(z)-alpha-bisabolene	6	(z)-alpha-bisabolene	Q27121555	5352653	(z)-alpha-bisabolene
allo-ocimene	6	(e,e)-allo-ocimene	Q15628365	5368821	2,6-dimethyl-2,4,6-octatriene
calamenene	6	trans-calamenene	Q67880179	6429077	naphthalene, 1,2,3,4-tetrahydro-1,6-dimethyl-4-(1-methylethyl)-, (1s-cis)-
10-epi-gamma-eudesmol	6	10-epi-gamma-eudesmol	Q27131975	6430754	10-epi-gamma-eudesmol
trans-linalool oxide	6	trans-linalool oxide	Q27272093	6432254	trans-linalool oxide
copaene	6	copaene	Q5168276	70678558	alpha-copaene
epi-cubebol	6	not found	not found	91753433	(1s,4s,6s,7s,10s)-4,10-dimethyl-7-propan-2-yltricyclo[4.4.0.01,5]dec-8-en-4-ol
beta-pinene	6	beta-pinene	Q300928	not found	not found
cadina-1,4-diene	6	cadina-1,4-diene	Q77377212	not found	not found
gamma-terpinene	6	.gamma.-terpinene	Q423975	not found	not found
alpha-pinene	6	alpha-pinene	Q27104380	not found	not found
alpha-terpineol	6	m-tert-butyl-phenol	Q15724770	not found	not found
asaricin	6	not found	not found	not found	not found
p-cymene	6	p-cymene	Q284072	not found	not found
thuja-2,4(10)-diene	6	not found	not found	not found	not found
trans-carveol	6	trans-(-)-carveol	Q27089409	not found	not found
decanoic acid	5	capric acid	Q422613	2969	decanoic acid
isomenthone	5	(+)-isomenthone	Q27104366	6986	p-menthan-3-one
carveol	5	carveol	Q2920205	7438	carveol
1-hexanol	5	1-hexanol	not found	8103	1-hexanol
nonanoic acid	5	pelargonic acid	Q369777	8158	nonanoic acid
6-methyl-5-hepten-2-one	5	6-methyl-5-hepten-2-one	Q3209146	9862	6-methyl-5-hepten-2-one
delta-amorphene	5	(+)-.delta.-cadinene	Q27089406	10223	delta-amorphene
hexahydrofarnesyl acetone	5	hexahydrofarnesyl acetone	Q67880075	10408	6,10,14-trimethylpentadecan-2-one
beta-cadinene	5	.beta.-cadinene	Q27103285	10657	beta-cadinene
apiole	5	apiole	Q21071561	10659	apiole
dihydrocarveol	5	dihydrocarveol	Q1225152	12072	dihydrocarveol
d-carvone	5	(.plusminus.)-carvone	Q416800	16724	d-carvone
menthyl acetate	5	menthyl acetate	Q72488409	27867	menthyl acetate
myrtenyl acetate	5	myrtenyl acetate	Q27289978	61262	myrtenyl acetate
2-carene	5	(+)-2-carene	Q27260378	79044	2-carene
carvacrol methyl ether	5	carvacrol methyl ether	Q27291819	80790	carvacrol methyl ether
trans-piperitol	5	piperitol	Q72501056	85568	trans-piperitol
alpha-trans-bergamotene	5	(e)-(-)-.alpha.-bergamotene	Q27132147	86608	alpha-bergamotene
zingiberene	5	zingiberene	Q4117486	92776	zingiberene
beta-patchoulene	5	beta-patchoulene	Q67879730	101731	beta-patchoulene
trans-p-menth-2-en-1-ol	5	trans-(-)-p-menth-1-en-3-ol	Q27253484	122484	2-cyclohexen-1-ol, 1-methyl-4-(1-methylethyl)-, trans-
longifolene	5	longifolene	Q6673936	289151	longifolene
aristolene	5	aristolene	Q67879695	530421	aristolene
gamma-himachalene	5	gamma-himachalene	Q27121544	577062	gamma-himachalene
(e)-beta-ionone	5	trans-.beta.-ionone	Q27114873	638014	beta-ionone
linoleic acid	5	linoleic acid	Q407426	5280450	linoleic acid
beta-sinensal	5	(2e,6e)-.beta.-sinensal	Q27108641	5281535	beta-sinensal
trans-calamenene	5	trans-calamenene	Q67880179	6429022	trans-calamenene
cis-calamenene	5	not found	not found	6429077	naphthalene, 1,2,3,4-tetrahydro-1,6-dimethyl-4-(1-methylethyl)-, (1s-cis)-
hinesol	5	hinesol	Q27149875	10878761	2-[(3r,5s,6s)-6,10-dimethylspiro[4.5]dec-9-en-3-yl]propan-2-ol
trans-cadina-1(6),4-diene	5	not found	not found	not found	not found
spathulenol	5	spathulenol	Q1376658	not found	not found
1,6-cineole	5	not found	not found	not found	not found
linalool oxide	5	linalool oxide	Q72487500	not found	not found
cuminal	4	cuminaldehyde	Q419952	326	4-isopropylbenzaldehyde
cuminaldehyde	4	cuminaldehyde	Q419952	326	4-isopropylbenzaldehyde
naphthalene	4	naphthalene	Q179724	931	naphthalene
1-hexadecanol	4	cetyl alcohol	Q161632	2682	1-hexadecanol
dodecanoic acid	4	lauric acid	Q422627	3893	lauric acid
hexanal	4	hexanal	Q420698	6184	hexanal
iso-menthone	4	not found	not found	6986	p-menthan-3-one
eugenyl acetate	4	eugenol acetate	Q27116129	7136	acetyleugenol
furfural	4	furfural	Q412429	7362	furfural
styrene	4	styrene	Q28917	7501	styrene
p-xylene	4	p-xylene	Q3314420	7809	p-xylene
chamazulene	4	chamazulene	Q909088	10719	chamazulene
tetradecanoic acid	4	myristic acid	Q422658	11005	myristic acid
terpin-4-ol	4	(+/-)-4-terpineol	Q416114	11230	terpinen-4-ol
2-tridecanone	4	2-tridecanone	Q27147536	11622	2-tridecanone
2-nonanol	4	2-nonanol	Q4596913	12367	2-nonanol
tetradecane	4	tetradecane	Q150808	12389	tetradecane
pentadecane	4	pentadecane	Q150831	12391	pentadecane
pentacosane	4	pentacosane	Q151007	12406	pentacosane
tricosane	4	tricosane	Q150977	12534	tricosane
isocaryophyllene oxide	4	isocaryophyllene oxide	Q67879947	14350	beta-caryophyllene oxide
p-menthone	4	menthone	Q54015201	26447	menthone
cedrol	4	cedrol	Q1052617	65575	cedrol
chavicol	4	chavicol	Q2504388	68148	4-allylphenol
alpha-bergamotene	4	alpha-bergamotene	Q27132146	86608	alpha-bergamotene
alpha-santalene	4	(+)-alpha-santalene	Q27131275	94164	alpha-santalene
delta-guaiene	4	guaienes	Q56010321	94275	delta-guaiene
piperitenone	4	piperitenone	Q27102310	381152	piperitenone
cyclosativene	4	not found	not found	519960	cyclosativene
gamma-selinene	4	.gamma.-selinene	Q70486252	521334	gamma-selinene
rosifoliol	4	rosifoliol	Q67880166	527256	rosifoliol
beta-calacorene	4	beta-calacorene	Q67879717	529621	4-isopropyl-6-methyl-1-methylene-1,2,3,4-tetrahydronaphthalene
trans-anethole	4	anethole	Q255564	637563	anethole
beta-ionone	4	.beta.-ionone	Q27190018	638014	beta-ionone
endo-borneol	4	borneol	Q27103499	1201518	borneol
epi-alpha-bisabolol	4	not found	not found	1201551	alpha-bisabolol
cis-jasmone	4	(ez)-jasmone	Q65952186	1549018	jasmone
epi-alpha-muurolol	4	not found	not found	3084331	t-muurolol
trans-beta-farnesene	4	(6e)-.beta.-farnesene	Q27108631	5281517	beta-farnesene
humulene	4	humulene	Q1995108	5281520	humulene
cinnamyl acetate	4	cinnamyl acetate	Q61734302	5282110	cinnamyl acetate
eudesm-7(11)-en-4-ol	4	not found	not found	6432454	eudesm-7(11)-en-4-ol
junenol	4	junenol	Q27294925	6452077	junenol
pinocembrin chalcone	4	pinocembrin chalcone	Q27149535	6474295	pinocembrin chalcone
7-epi-alpha-selinene	4	(-)-7-epi-alpha-selinene	Q27131695	10726905	(-)-7-epi-alpha-selinene
maaliol	4	maaliol	Q67880001	10944069	maalialcohol
cyperene	4	cyperene	Q27155098	12308843	(-)-cyperene
eremophilene	4	eremophilene	Q27285775	12309744	eremophilene
epi-bicyclosesquiphellandrene	4	1-epi-bicyclosesquiphellandrene	Q67866103	91747125	trans-muurola-4(14),5-diene
alpha-terpineol	4	alpha-terpineol	Q27109437	not found	not found
beta-caryophyllene	4	caryophyllene	Q421614	not found	not found
caryophylla-4(12),8(13)-dien-5beta-ol	4	not found	not found	not found	not found
trans-muurola-4(14),5-diene	4	trans-longipinocarveol	Q27160518	not found	not found
cis-beta-guaiene	4	beta-guaiene	Q27160891	not found	not found
tau-muurolol	4	(+)-tau-muurolol	Q27132742	not found	not found
trans-cadina-1,4-diene	4	not found	not found	not found	not found
benzyl alcohol	3	ascaridole	Q419442	244	benzyl alcohol
octanoic acid	3	3-hydroxyoctanoic acid	Q15410154	379	octanoic acid
phenol	3	phenol	Q130336	996	phenol
toluene	3	toluene	Q15779	1140	toluene
dibutyl phthalate	3	dibutyl phthalate	Q415612	3026	dibutyl phthalate
2-phenylethanol	3	phenylethyl alcohol	Q209463	6054	2-phenylethanol
beta-guaiene	3	(1s,4s)-.beta.-guaiene	Q27252250	6949	guaiene
acetophenone	3	acetophenone	Q375112	7410	acetophenone
cymene	3	cymenes	Q2672403	7463	p-cymene
tridecane	3	tridecane	Q150788	8186	undecanal
isophytol	3	isophytol	Q26841319	10453	isophytol
ascaridole	3	ascaridole	Q419442	10545	ascaridole
trans-sesquisabinene hydrate	3	not found	not found	12388	tridecane
2-decanone	3	2-decanone	Q20054515	12741	2-decanone
perillaldehyde	3	perillaldehyde	Q3117895	16441	perillaldehyde
oct-1-en-3-ol	3	oct-1-en-3-ol	Q161667	18827	1-octen-3-ol
dimethyl trisulfide	3	dimethyl trisulfide	Q5277321	19310	dimethyl trisulfide
2-dodecanone	3	2-dodecanone	Q27161470	22556	2-dodecanone
l-menthone	3	menthone	Q54015201	26447	menthone
beta-bisabolol	3	.beta.-bisabolol	Q27283109	27208	3-cyclohexen-1-ol, 1-(1,5-dimethyl-4-hexenyl)-4-methyl-
alpha-fenchene	3	(ã¢ëâ)-.alpha.-fenchene	Q24791131	28930	alpha-fenchene
tetradecanal	3	tetradecanal	Q6948297	31291	tetradecanal
isomenthol	3	(+)-isomenthol	Q27288059	45056	(+)-isomenthol
cis-piperitol	3	not found	not found	85567	cis-piperitol
cuparene	3	cuparene	Q27253858	86895	cuparene
aromandendrene	3	not found	not found	91354	aromadendrene
limonene oxide	3	cis-(-)-limonene oxide	Q27253522	91496	limonene oxide
alpha-curcumene	3	.alpha.-curcumene	Q27132148	92139	alpha-curcumene
alpha-bulnesene	3	delta-guaiene	Q27132629	94275	delta-guaiene
isoterpinolene	3	isoterpinolene	Q24514387	102443	isoterpinolene
2-isopropenyl-5-methylhex-4-enal	3	not found	not found	110898	4-hexenal, 5-methyl-2-(1-methylethenyl)-, (2r)-
undecanal	3	undecanal	Q7883008	171455	valeranone
menthofuran	3	(+/-)-menthofuran	Q6817554	329983	menthofuran
chrysanthenone	3	chrysanthenone	Q5114549	442463	chrysanthenone
cis-dihydrocarvone	3	cis-dihydrocarvone	Q27105263	443167	(+)-isodihydrocarvone
beta-thujene	3	beta-thujene	Q408209	520384	beta-thujene
alpha-longipinene	3	(+)-.alpha.-longipinene	Q27132143	520957	alpha-longipinene
isoledene	3	not found	not found	530426	isoledene
isoaromadendrene epoxide	3	isoaromadendrene epoxide	Q67879937	534398	isoaromadendrene epoxide
(e)-asarone	3	not found	not found	636822	alpha-asarone
(e)-cinnamaldehyde	3	(e)-cinnamaldehyde	Q204036	637511	cinnamaldehyde
cinnamaldehyde	3	(e)-cinnamaldehyde	Q204036	637511	cinnamaldehyde
trans-caryophyllene	3	caryophyllene	Q421614	637511	cinnamaldehyde
anethole	3	anethole	Q255564	637563	anethole
nootkatone	3	(+)-nootkatone	Q417896	1268142	nootkatone
geranyl acetone	3	(e)-geranyl acetone	Q67879718	1549778	geranylacetone
farnesyl acetone	3	(5e,9z)-farnesyl acetone	Q27257403	1711945	farnesyl acetone
beta-caryophyllene oxide	3	.beta.-caryophyllene oxide	Q27136294	1742210	caryophyllene oxide
zonarene	3	zonarene	Q67880159	1742210	caryophyllene oxide
2-hexenal	3	(2e)-2-hexenal	Q209405	5281168	2-hexenal
trans-calamenene	3	trans-calamenene	Q67880179	5281515	beta-caryophyllene
ocimene	3	ocimene	Q412945	5281553	beta-ocimene
(z)-asarone	3	.beta.-asarone	Q27089385	5281758	beta-asarone
trans-cinnamaldehyde	3	(e)-cinnamaldehyde	Q204036	5284507	3,7,11-trimethyldodeca-1,6,10-trien-3-ol
(e)-alpha-bisabolene	3	(e)-alpha-bisabolene	Q27121556	5315468	(e)-alpha-bisabolene
m-camphorene	3	m-camphorene	Q67879999	5315649	gamma-camphorene
cis-beta-farnesene	3	(6z)-.beta.-farnesene	Q27119785	5317319	cis-beta-farnesene
alpha-ocimene	3	(3e)-.alpha.-ocimene	Q26776996	5320249	1,3,7-octatriene, 3,7-dimethyl-
cis-ocimene	3	(3z)-.beta.-ocimene	Q26777005	5320250	(z)-beta-ocimene
humulene epoxide	3	humulene epoxide ii	Q72482711	5352470	humulene epoxide
alpha-bisabolene	3	(e)-.alpha.-bisabolene	Q27121558	5352653	(z)-alpha-bisabolene
germacrene d-4-ol	3	not found	not found	5352847	germacrene d-4-ol
methyl geranate	3	methyl geranate	Q27254138	5365910	methyl geranate
trans-p-mentha-2,8-dien-1-ol	3	not found	not found	6428444	trans-sesquisabinene hydrate
valerianol	3	not found	not found	6428488	zonarene
gleenol	3	not found	not found	6429080	(-)-gleenol
alpha-cedrene	3	cedr-8-ene	Q27108601	6431015	alpha-cedrene
germacrone	3	germacrone	Q15410959	6436348	(3e,7e)-3,7-dimethyl-10-(propan-2-ylidene)cyclodeca-3,7-dienone
valeranone	3	valeranone	Q27149801	9859337	2-[(2r,8r,8as)-8,8a-dimethyl-2,3,4,6,7,8-hexahydro-1h-naphthalen-2-yl]propan-2-ol
beta-santalene	3	(-)-beta-santalene	Q27108639	10889018	beta-santalene
patchouli alcohol	3	patchouli alcohol	Q7144372	10955174	patchouli alcohol
