oilplant,count
Artemisia chamaemelifolia,1
Piper capense,1
Lippia sidoides,,1
Feijoa sellowiana,1
Piper cernuum,,1
Stachys lavandulifolia,,1
Sphaeranthus indicus,1
Stachys lavandulifolia;,1
Amomum subulatum,1
Thymus kotschyanus,1
Hyptis pectinata,,1
Pimpinella aurea,1
Echinophora tournefortii,1
Cupressus macrocarpa,,1
Sideritis scardica,,1
Hyptis pectinata;,1
Cymbopogon winterianus,1
Tagetes minuta.,1
Eucalyptus radiata,1
Tagetes minuta,,1
Artemisia annua,,1
Satureja cuneifolia,1
Ocimum sanctum,,1
Artemisia annua.,1
Chenopodium ambrosioides,1
Xylopia aethiopica,,1
Arabidopsis thaliana.,1
Eryngium bungei,1
Aframomum corrorima,1
Thymus mastichina,,1
Citrullus lanatus,1
Lavandula officinalis,,1
Mentha aquatica,,1
Ocimum kilimandscharicum,1
Citrus latifolia,,1
Echinophora chrysantha,1
Artemisia diffusa,1
Monodora myristica,1
Thymus pectinatus,1
Hyptis suaveolens.,1
Piper mikanianum,1
Carum copticum,1
Thymus vulgaris.,1
Cirsium japonicum,1
Trachyspermum ammi.,1
Salvia fruticosa,1
Pimpinella anisum,,1
Bidens sulphurea,1
Echinophora trichophylla,1
Alpinia galanga,1
Artemisia kermanensis,1
Anacardium humile,1
Trachyspermum ammi,,1
Piper cernuum,1
Aeollanthus suaveolens.,1
Plectranthus amboinicus,,1
Plectranthus amboinicus.,1
Thymus caucasicus,,1
Zanthoxylum acanthopodium,,1
Micromeria nubigena,1
Origanum elongatum,1
Salvia brachyodon,1
Eucalyptus maculata,1
Parthenium hysterophorus,1
Artemisia subdigitata,1
Melaleuca alternifolia,,1
Satureja bachtiarica,1
Salvia eremophila,1
Lavandula stoechas,,1
Marrubium vulgare;,1
Blepharocalyx salicifolius.,1
Protium heptaphyllum.,1
Clinopodium vulgare,1
Pinus sylvestris.,1
Curcuma longa.,1
Echinophora tenuifolia,1
Hyptis martiusii,,1
Thymus persicus,1
Satureja hortensis;,1
Eucalyptus largiflorens,1
Litsea cubeba,,1
