plant_compound,count
p-mentha-1,3,8-triene,2
Germacrone,2
tridecane,2
(E)-cinnamyl acetate,,2
Isoterpinolene,2
tridecanoic acid,2
benzyl acetate,,2
dibenzofuran,2
arachidic acid,2
chavibetol,2
dihydromyrcenol,2
salicylic acid.,2
methyl phenylacetate.,2
methyl benzoate,,2
oleamide,2
cedrane,2
4-isopropyl-2-cyclohexenone,2
undecanal,2
acetic acid.,2
benzyl acetate,2
Curzerene,2
hexadecane,2
Santolina triene,2
carvyl acetate;,2
osthol,2
stearyl alcohol,2
tetradecanoic acid,2
caprylic acid,2
hexyl acetate,2
pentyl isobutyrate,2
dibutyl phthalate,2
isobornyl formate,,2
valerenic acid,,2
hexyl butyrate,,2
myrtenyl acetate,2
Cembrene,2
benzofuran,2
cinnamic acid.,2
benzyl alcohol.,2
2-nonanone,2
octyl isobutyrate,,2
1-pentadecene,2
1-decanol,2
heptanal,2
methyl hexadecanoate,,2
methyl benzoate,2
cadalene,2
(+)-fenchone,2
butyl butyrate,,2
tetrahydrofuran,2
benzyl benzoate,,2
intermedeol,2
citronellic acid,2
ethyl salicylate,2
phenylethyl alcohol,,2
methyl hexadecanoate,2
cis-abienol,2
neryl isobutyrate,1
Dendrolasin,1
lauryl acetate,1
Cyperotundone,1
dibutyl phthalate,,1
1-nonadecene,1
isopropyl palmitate,1
heptadecanoic acid,,1
L-menthol,1
pentadecanoic acid,,1
docosane,1
mycophenolate mofetil,,1
isoamyl alcohol,1
isopentyl isovalerate,,1
methyl anthranilate,1
margaric acid,,1
dihydroagarofuran,1
methyl mercaptan.,1
geranyl isobutyrate,,1
methyl phenylacetate,1
propanol,1
perillene,1
methyl isobutyl ketone,1
diisobutyl phthalate,1
neryl propionate,,1
neryl isovalerate,1
friedelin,1
Alismol,1
octyl isobutyrate,1
1-hexanol,1
cyclohexanone,1
2-tridecanone,1
(E)-jasmone,1
drimenol,1
pinocarveol,1
geranyl tiglate,1
acetic acid;,1
alpha-bulnesene,1
mellein,1
L-Arginine,1
octyl butyrate,,1
linoleic acid;,1
creosol,1
pentyl isobutyrate,,1
benzyl isothiocyanate.,1
heptadecanoic acid,1
phenyl acetate,,1
methyl tridecanoate,1
isopropyl alcohol,,1
methyl nonanoate,,1
capric acid,1
Valeranone,1
caproic acid,,1
ethyl cinnamate,,1
2-Nonadecanone,1
valerenic acid.,1
hexanoic acid,,1
margaric acid,1
2-heptadecanone,1
perilla alcohol,1
(Z)-tagetone,1
p-menth-1-en-9-ol,1
Furanodiene,1
guaiazulene,1
Nootkatol,1
cubebol,1
beta-Bourbonene,1
mycophenolate mofetil,1
alpha-linolenic acid.,1
benzoic acid.,1
2-nitroethanol,1
decanoic acid.,1
decanoic acid,,1
benzyl salicylate,1
hexyl isovalerate,1
epidiolex,1
epiglobulol,1
pellitorine,1
behenic acid,1
2-hydroxybenzoic acid,,1
dotriacontane,1
beta-Guaiene,1
beta-sesquiphellandrene,1
behenic acid;,1
pentanal,1
methyl acetate,1
geranyl hexanoate,1
lauryl aldehyde,,1
nonanoic acid,,1
octacosane,1
seselin,1
geranyl 2-methylbutyrate,1
dill ether,1
octane,1
docosanol,1
methyl geranate,,1
benzyl salicylate,,1
cocaine,1
myrtenyl acetate,,1
butyl hexanoate,1
dodecene,1
methylparaben,1
octyl formate,,1
2-butylfuran,1
myristic acid;,1
heptanoic acid,,1
Tetratriacontane,1
khusimol,1
nonane,1
p-xylene,1
pelargonic acid,,1
