PMCID	method	method_WIKIPEDIA	method_section_1	method_section_2	analysis_1	analysis_1_WIKIPEDIA	analysis_section_1	analysis_2	analysis_2_WIKIPEDIA	analysis_section_2
PMC5590070	steam distillation	Steam_distillation	Plant Material and Extraction of Essential Oil		GC-MS	Gas_chromatography–mass_spectrometry	GC-MS Analysis			
PMC5592951										
PMC5597067	vacuum distillation	Vacuum_distillation	Materials		GC-MS	Gas_chromatography–mass_spectrometry	Gas Chromatographic/Mass Spectral Analysis			
PMC5602041	steam distillation	Steam_distillation	Essential oils		GC-MS	Gas_chromatography–mass_spectrometry	GC-MS analysis			
PMC5602841	hydrodistillation	Steam_distillation	Extraction of Plectranthus amboinicus essential oil (PAEO)		GC-MS	Gas_chromatography–mass_spectrometry	Chemical analysis of the essential oil (PAEO)			
PMC5603114	hydrodistillation	Steam_distillation	Extraction		GC-MS	Gas_chromatography–mass_spectrometry	Analysis by Gas Chromatography-Mass Spectrometry			
PMC5613177	hydrodistillation	Steam_distillation	Essential oil extraction, GC-MS analysis, and preparation of leaf extracts		GC-MS	Gas_chromatography–mass_spectrometry	Essential oil extraction, GC-MS analysis, and preparation of leaf extracts	GC-FID	Flame_ionization_detector	
PMC5615139	hydro-distillation	Steam_distillation	Extraction and analysis of the essential oil		GC-MS	Gas_chromatography–mass_spectrometry	Gas chromatography-mass spectrometry analysis of the oils			
PMC5615285	hydrodistillation	Steam_distillation	Plant Material		GLC-MS	Gas_chromatography–mass_spectrometry	Gas-Liquid Chromatography-Mass Spectrometry (GLC-MS)	GLC-MS		
PMC5620597	hydrodistillation	Steam_distillation	Essential Oil Distillation		gas-chromatography	Gas_chromatography	GC Analysis			
PMC5622382	hydrodistillation	Steam_distillation	Essential Oils		GC-MS	Gas_chromatography–mass_spectrometry	Gas Chromatography-Mass Spectrometry			
PMC5622390	hydrodistillation	Steam_distillation	Extraction of the Essential Oils		GC-MS	Gas_chromatography–mass_spectrometry	GC-MS Analysis			
PMC5622397	hydrodistillation	Steam_distillation	Essential Oil Attainment		CG-MS	Gas_chromatography–mass_spectrometry	Chromatographic Analyses of the Essential Oil of Lemongrass			
PMC5622398										
PMC5622401	hydro-distillation	Steam_distillation	Plant Material		GC-MS	Gas_chromatography–mass_spectrometry	Gas Chromatography-Mass Spectrometry			
PMC5622403	steam or hydro-distillation	Steam_distillation	Chemical Composition of Essential oils of Artemisia Species		GC	Gas_chromatography	Chemical Composition of Essential oils of Artemisia Species	GC/MS	Gas_chromatography–mass_spectrometry	
PMC5625792	hydrodistillation	Steam_distillation	Essential oil		GC-MS	Gas_chromatography–mass_spectrometry	Gas chromatography/mass spectrometry (GC/MS) analysis			
PMC5641611	clevenger apparatus extraction	Steam_distillation	Collection of Plant material and extraction of essential oil		GC-MS	Gas_chromatography–mass_spectrometry	GC and GC-MS analysis			
PMC5651092	steam distillation	Steam_distillation	Essential Oil		GC-MS	Gas_chromatography–mass_spectrometry	Analysis by GC/MS			
PMC5653886	hydro-distillation	Steam_distillation	Plant material and EOs preparation		GC-MS	Gas_chromatography–mass_spectrometry	Gas chromatography-mass spectrometry (GC-MS) analysis			
PMC5660901	fractional distillation	Fractional_distillation	Material and instrument		GC-MS	Gas_chromatography–mass_spectrometry	Analysis by GC-MS			
PMC5661929	hydrodistillation, HS-SPME	Steam_distillation	Hydrodistillation (HD)	Headspace- solid phase microextraction (HS-SPME)	GC-MS	Gas_chromatography–mass_spectrometry	GC mass spectrometry (GC-MS) analyses			
PMC5668225					GC-MS	Gas_chromatography–mass_spectrometry	GC-MS analysis	GC-FID	Flame_ionization_detector	GC-FID analysis
PMC5669080	hydrodistillation	Steam_distillation	Preparation, characterization, and analysis of the essential oil		GC-MS	Gas_chromatography–mass_spectrometry	Gas chromatography/mass spectrometry analysis			
PMC5669111	hydrodistillation	Steam_distillation	Extraction/isolation of essential oil		GC	Gas_chromatography	Gas chromatography analysis	GC/MS	Gas_chromatography–mass_spectrometry	Gas chromatography/mass spectrometry analysis
PMC5674267										
PMC5684592					GC-MS	Gas_chromatography–mass_spectrometry	GC-MS Analysis			
PMC5694497	hydrodistillation	Steam_distillation	Essential Oil Isolation Procedure		GC-MS	Gas_chromatography–mass_spectrometry	GC-MS/FID Analysis	GC-FID	Flame_ionization_detector	
PMC5694587	steam distillation, solvent extraction, soxhlet extraction, microwave-assisted hydrodistillation, dynamic headspace, static headspace, solvent flavor evaporation, solid-phase microextraction, and direct thermal desorption		Chemical Composition of Plant Essential Oils		Thin Layer Chromatography (TLC)	Thin-layer_chromatography	Classical Analytical Techniques	GC-MS	Gas_chromatography–mass_spectrometry	Modern Analytical Techniques
PMC5694611	microwave-ultrasonic		Essential Oils Extraction		GC-MS	Gas_chromatography–mass_spectrometry	GC-MS Analysis			
PMC5694875										
PMC5694991					GC-MS	Gas_chromatography–mass_spectrometry	Measurement of Chemical Characters			
PMC5699893										
PMC5702407	hydrodistillation	Steam_distillation	EO Extraction		GC/MS	Gas_chromatography–mass_spectrometry	Gas Chromatography/Mass Spectrometry (GC/MS) Analyses of EOs			
PMC5702920	hydrodistillation	Steam_distillation	Chemicals and Drugs		GC-FID	Flame_ionization_detector	Chemical Analysis of the Air Nebulized inside the Chamber			
PMC5717781										
PMC5723952	hydrodistillation	Steam_distillation	Preparation of Plant Extracts		GC-MS	Gas_chromatography–mass_spectrometry	GC-MS Analysis			
PMC5725564	soxhlet extraction	Soxhlet_extractor	Extraction of Oils							
PMC5735349	hydrodistillation	Steam_distillation	Extraction of essential oil from the leaves of L. erythrocarpa		GC/MS	Gas_chromatography–mass_spectrometry	Gas chromatography (GC)-mass spectrometry (MS) analysis			
PMC5736702										
PMC5742650	hydro-distillation, microwave hydro-distillation	Steam_distillation	Hydro-Distillation (HD) apparatus and procedure	Microwave-Assisted Hydro-Distillation (MAHD) apparatus and procedure	GC	Gas_chromatography	Gas chromatography			
PMC5745743	steam distillation	Steam_distillation	Plant material and sample preparation		GC-MS	Gas_chromatography–mass_spectrometry	Chemical ingredients database building			
PMC5746745					GC/MS	Gas_chromatography–mass_spectrometry	Essential Oil Extraction from Labelled Material	13C NMR	Carbon-13_nuclear_magnetic_resonance	NMR Measurements
PMC5747963										
PMC5748641	steam distillation	Steam_distillation	Extraction of Essential Oil		GC-MS	Gas_chromatography–mass_spectrometry	Gas Chromatography Coupled to Mass-Spectrometry (GC-MS)	GC-FID	Flame_ionization_detector	Gas Chromatography Coupled to Flame Ionization Detector (GC-FID)
PMC5750594	hydrodistillation	Steam_distillation	Essential Oil		GC-MS	Gas_chromatography–mass_spectrometry	Gas Chromatography-Mass Spectrometry (GC-MS)	GC-FID	Flame_ionization_detector	Gas Chromatography-Flame Ionization Detection
PMC5750605	hydrodistillation	Steam_distillation	Extraction of Essential Oils		GC/MS	Gas_chromatography–mass_spectrometry	Gas Chromatography and Gas Chromatography/Mass Spectrometry			
PMC5750654										
PMC5751248										
PMC5761127	steam distillation	Steam_distillation	Essential oil preparation							
PMC5772139										
PMC5778200			Sample preparation and oil extraction		GC/MS	Gas_chromatography–mass_spectrometry	Analysis of the chemical components in extracted oil			
PMC5778779	hydrodistillation	Steam_distillation	Extraction of essential oils		GC-MS	Gas_chromatography–mass_spectrometry	GC/FID and GC/MS analysis of the EO			
PMC5788217	hydrodistillation	Steam_distillation	Essential oil extraction and quantiï¬cation		GC	Gas_chromatography	Essential oil extraction and quantiï¬cation			
PMC5789270					GC-MS	Gas_chromatography–mass_spectrometry	Materials and Methods			
PMC5789316										
PMC5794096	hydrodistillation	Steam_distillation	Red propolis sample collection and essential oil preparation		GC-MS	Gas_chromatography–mass_spectrometry	Gas chromatography-mass spectrometry (GC-MS)			
PMC5795983	steam distillation	Steam_distillation	Plant Material and Extraction of Essential Oil		GC-MS	Gas_chromatography–mass_spectrometry	Gas Chromatography/Mass Spectrometry (GC/MS) Analysis			
PMC5797122	steam distillation	Steam_distillation	Steam distillation		GC-MS	Gas_chromatography–mass_spectrometry	Gas chromatography	GC-FID	Flame_ionization_detector	
PMC5806308	hydro-distillation, soxhlet extraction	Steam_distillation, Soxhlet_extractor	Preparation of essential oil and aqueous extract	Preparation of the ethanolic extract						
PMC5807769	steam distillation	Steam_distillation	Chemicals and media		GC-MS	Gas_chromatography–mass_spectrometry	CNB essential oil analysis	GC-FID	Flame_ionization_detector	
PMC5811758	hydrodistillation	Steam_distillation	Plant material and preparation of essential oil		GC-FID	Flame_ionization_detector	Analysis of the essential oil	GC/MS	Gas_chromatography–mass_spectrometry	
PMC5813356	hydrodistillation	Steam_distillation	Extraction of essential oils		GC-MS	Gas_chromatography–mass_spectrometry	Analytical GC-FID and GC-MS	GC-FID	Flame_ionization_detector	
PMC5822514	hydrodistillation	Steam_distillation	Sample preparation		GC	Gas_chromatography	Gas chromatography-mass spectrometry	GC/MS	Gas_chromatography–mass_spectrometry	
PMC5830750	hydrodistillation, HS-SPME	Steam_distillation	Hydrodistillation method	Headspace solid-phase microextraction method	GC	Gas_chromatography	Identification of the volatile components by GC and GC/MS	GC-MS	Gas_chromatography–mass_spectrometry	
PMC5838999	hydrodistillation	Steam_distillation	Plant material and essential oil extraction		GC	Gas_chromatography	Analysis of the essential oil	GC-MS	Gas_chromatography–mass_spectrometry	
PMC5842484	hydrodistillation	Steam_distillation	Plant material and essential oil extraction		GC/MS	Gas_chromatography–mass_spectrometry	Gas chromatography/mass spectroscopy analysis			
PMC5846372	clevenger distillation	Steam_distillation	Isolation of Compounds							
PMC5848570										
PMC5849894	maceration, bligh and dyer		Maceration method	Bligh and dyer method						
PMC5849899	hydrodistillation	Steam_distillation	Preparation of EOs							
