PMCID	table_no	table_title	notes	serial   	compound 	percent
PMC5867556	Table 1	Molecular composition of the various propolis preparations determined by high-performance liquid chromatography-UV-electrospray ionization mass (HPLC-UV-ESI-MS).				
PMC5872285			no EO composition table. Fatty acid composition of L. migratoria.			
PMC5871051	Table 2	The Chemical Components of Bunium persicum, Eucalyptus globulus Essential Oils, and Rose Water.	Extracted form 3_float_groups			
PMC5871294	Table 1	Chemical Composition of the Essential Oil From Salvia mirzayanii. Salvia mirzayanii.	Extracted form 3_float_groups			
PMC5872285			no EO composition table.			
PMC5872290	Table 1					
PMC5874608	Table 2	Chemical composition of essential oils of Conradina species.				
PMC5876267	Table 1	Chemical composition of the Origanum compactum essential oil ...				
PMC5876298			no EO composition table.			
PMC5877547			no EO composition table.			
PMC5878871	Table 1	Chemical composition of essential oil of LEO.				
PMC5879832			no EO composition table.			
PMC5884000			no EO composition table.			
PMC5884125			no EO composition table.			
PMC5885327	Table 3	Chemical composition of P . roseum essential oil.				
PMC5886561						
PMC5896384			no EO composition table. Fatty acid composition (%) and nutritional quality of pure o ...	Fatty acid composition (%) and nutritional quality of pure o ...		
PMC5896384			no EO composition table. Fatty acid composition (%) and nutritional quality of pure o ...	Free fatty acid (% oleic acid) and peroxide values (meq O 2/ ...		
PMC5896386	Table 1	Chemical composition of the volatile oil of T.minuta				
PMC5896386	Table 2	Amount of various fatty acids in T.minuta oil	Amount of various fatty acids			
PMC5896386	Table 3	Chemical composition of the volatile oil of T.minuta				
PMC5897738	Table 2	Chemical composition of RC essential oil.				
PMC5897738	Table 2	Chemical composition of RC essential oil.				
PMC5901951	Table 2	Tocopherol (T) composition in tree-borne seed oils.	Tocopherol (T) composition			
PMC5901951	Table 1	Fatty acid profiles in tree-borne seed oils.				
PMC5902937	Table 2	Policosanol composition of milk thistle oil extracted from mature seeds				
PMC5905184						
PMC5905380	Table 1	Chemical composition of garlic and asafoetida essential oils	Extracted from 3_float_groups			
PMC5905578						
PMC5909600	Table 2	Fatty acid composition (g/100 g FAs determined) of the rapeseed oil, lard and palm oil used as supplements in chicken diets.	Fatty acid composition.			
PMC5918559	Table 1	Relative percentage (%) of compounds from essential oils det ...				
PMC5919639			no EO composition table is reported.			
PMC5920421			no EO table is reporrted.			
PMC5920425			fatty acid compositions			
PMC5921405	Table 1	Chemical compositions of myrtle essential oil				
PMC5923693	Table 1	Different compositions of palm oil and other fats.				
PMC5925846			fatty acids of animal EO (breast meat )			
PMC5933010	Table 2	Chemical composition of MPEO by GC/MS.				
PMC5933022			no EO composition table.			
PMC5933692	Table 1	Essential oil composition of G. rosmarinifolia. Compounds be ...				
PMC5937097	Table 1	Chemical composition of the essential oil of Piper tubercula ...				
PMC5937106	Table 3	Percentage composition of the leaf oil of Ajuga chamaecistus				
PMC5937106	Table 2	Comparative percentage composition of the stem, leaf and roo ...				
PMC5937106	Table 1	Comparative percentage composition of the stem, leaf and flo ...				
PMC5938542	Table 1	Chemical composition of Pinus roxburghii essential oil				
PMC5940754	Table 1	Chemical composition of S. guianensis essentials oil samples ...				
PMC5945564	Table 2	Yield and volatile composition of twelve essential oil samples of P. guineense				
PMC5946457			no EO composition table.			
PMC5947909			no EO composition table.			
PMC5952513	Table 1	Chemical composition of essential oil of Zanthoxylum acanthopodium				
PMC5956054			no EO composition table.			
PMC5957362			no EO composition table.			
PMC5958151	Table 1	Chemical composition of analyzed essential oil sample	Extracted form 3_float_groups			
PMC5958191	Table 2	Name of the chemical constituents isolated from M. peregrina, parts used, chemical nature and its reported pharmacological activities.				
PMC5960541			no EO composition table.			
PMC5960548	Table 1	Chemical composition of Melaleuca alternifolia essential oil ...				
PMC5963643	Table 1	Chemical composition of the essential oil from O. majorana				
PMC5964621	Table 1	Compounds identified by GC-MS in essential oil.				
PMC29875694			no EO composition table.			
PMC5977410	Table 2	Chemical composition of Pistacia lentiscus essential oil.				
PMC5977410	Table 1	Preliminary screening of leaves of P. lentiscus.	Chemical groups			
PMC5978029			no EO composition table.			
PMC5985564			no EO composition table.			
PMC5993771	Table-1	Main compounds of the R. officinalis essential oil identifie ...				
PMC5997812	Table 1	Chemical profile of Cymbopogon martinii essential oil (CMEO) ...				
PMC6006875			no EO composition table.			
PMC6011056	Table 1	Chemical composition, retention index experimental (RIExp), ...				
PMC6011059			no EO composition table.			
PMC6011244			no EO composition table.			
PMC6015887			no EO composition table.			
